time,frame,pressure
0.0,0,0.0
0.001,1,0.587785252
0.002,2,-0.951056516
0.003,3,0.951056516
0.004,4,-0.587785252
0.005,5,-0.0
0.006,6,0.587785252
0.007,7,-0.951056516
0.008,8,0.951056516
0.009,9,-0.587785252
0.01,10,-0.0
0.011,11,0.587785252
0.012,12,-0.951056516
0.013,13,0.951056516
0.014,14,-0.587785252
0.015,15,-0.0
0.016,16,0.587785252
0.017,17,-0.951056516
0.018,18,0.951056516
0.019,19,-0.587785252
0.02,20,-0.0
0.021,21,0.587785252
0.022,22,-0.951056516
0.023,23,0.951056516
0.024,24,-0.587785252
0.025,25,0.0
0.026,26,0.587785252
0.027,27,-0.951056516
0.028,28,0.951056516
0.029,29,-0.587785252
0.03,30,-0.0
0.031,31,0.587785252
0.032,32,-0.951056516
0.033,33,0.951056516
0.034,34,-0.587785252
0.035,35,0.0
0.036,36,0.587785252
0.037,37,-0.951056516
0.038,38,0.951056516
0.039,39,-0.587785252
0.04,40,-0.0
0.041,41,0.587785252
0.042,42,-0.951056516
0.043,43,0.951056516
0.044,44,-0.587785252
0.045,45,-0.0
0.046,46,0.587785252
0.047,47,-0.951056516
0.048,48,0.951056516
0.049,49,-0.587785252
0.05,50,0.0
0.051,51,0.587785252
0.052,52,-0.951056516
0.053,53,0.951056516
0.054,54,-0.587785252
0.055,55,0.0
0.056,56,0.587785252
0.057,57,-0.951056516
0.058,58,0.951056516
0.059,59,-0.587785252
0.06,60,-0.0
0.061,61,0.587785252
0.062,62,-0.951056516
0.063,63,0.951056516
0.064,64,-0.587785252
0.065,65,0.0
0.066,66,0.587785252
0.067,67,-0.951056516
0.068,68,0.951056516
0.069,69,-0.587785252
0.07,70,0.0
0.071,71,0.587785252
0.072,72,-0.951056516
0.073,73,0.951056516
0.074,74,-0.587785252
0.075,75,0.0
0.076,76,0.587785252
0.077,77,-0.951056516
0.078,78,0.951056516
0.079,79,-0.587785252
0.08,80,-0.0
0.081,81,0.587785252
0.082,82,-0.951056516
0.083,83,0.951056516
0.084,84,-0.587785252
0.085,85,0.0
0.086,86,0.587785252
0.087,87,-0.951056516
0.088,88,0.951056516
0.089,89,-0.587785252
0.09,90,-0.0
0.091,91,0.587785252
0.092,92,-0.951056516
0.093,93,0.951056516
0.094,94,-0.587785252
0.095,95,0.0
0.096,96,0.587785252
0.097,97,-0.951056516
0.098,98,0.951056516
0.099,99,-0.587785252
0.1,100,0.0
0.101,101,0.587785252
0.102,102,-0.951056516
0.103,103,0.951056516
0.104,104,-0.587785252
0.105,105,0.0
0.106,106,0.587785252
0.107,107,-0.951056516
0.108,108,0.951056516
0.109,109,-0.587785252
0.11,110,0.0
0.111,111,0.587785252
0.112,112,-0.951056516
0.113,113,0.951056516
0.114,114,-0.587785252
0.115,115,0.0
0.116,116,0.587785252
0.117,117,-0.951056516
0.118,118,0.951056516
0.119,119,-0.587785252
0.12,120,-0.0
0.121,121,0.587785252
0.122,122,-0.951056516
0.123,123,0.951056516
0.124,124,-0.587785252
0.125,125,0.0
0.126,126,0.587785252
0.127,127,-0.951056516
0.128,128,0.951056516
0.129,129,-0.587785252
0.13,130,0.0
0.131,131,0.587785252
0.132,132,-0.951056516
0.133,133,0.951056516
0.134,134,-0.587785252
0.135,135,0.0
0.136,136,0.587785252
0.137,137,-0.951056516
0.138,138,0.951056516
0.139,139,-0.587785252
0.14,140,0.0
0.141,141,0.587785252
0.142,142,-0.951056516
0.143,143,0.951056516
0.144,144,-0.587785252
0.145,145,0.0
0.146,146,0.587785252
0.147,147,-0.951056516
0.148,148,0.951056516
0.149,149,-0.587785252
0.15,150,0.0
0.151,151,0.587785252
0.152,152,-0.951056516
0.153,153,0.951056516
0.154,154,-0.587785252
0.155,155,0.0
0.156,156,0.587785252
0.157,157,-0.951056516
0.158,158,0.951056516
0.159,159,-0.587785252
0.16,160,-0.0
0.161,161,0.587785252
0.162,162,-0.951056516
0.163,163,0.951056516
0.164,164,-0.587785252
0.165,165,-0.0
0.166,166,0.587785252
0.167,167,-0.951056516
0.168,168,0.951056516
0.169,169,-0.587785252
0.17,170,0.0
0.171,171,0.587785252
0.172,172,-0.951056516
0.173,173,0.951056516
0.174,174,-0.587785252
0.175,175,0.0
0.176,176,0.587785252
0.177,177,-0.951056516
0.178,178,0.951056516
0.179,179,-0.587785252
0.18,180,-0.0
0.181,181,0.587785252
0.182,182,-0.951056516
0.183,183,0.951056516
0.184,184,-0.587785252
0.185,185,-0.0
0.186,186,0.587785252
0.187,187,-0.951056516
0.188,188,0.951056516
0.189,189,-0.587785252
0.19,190,0.0
0.191,191,0.587785252
